SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
"SALICILATO DE FENILA;ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;MENTOL";33.379.884/0001-96;LABORATORIO SIMOES LTDA.;520500901178410;57600510011;7896210500354;    -     ;    -     ;TALCO ALÍVIO;TALQUEIRA C/ 100 G;D10A - ANTIACNEICOS TÓPICOS;Similar;Regulado;5,04;5,65;6,53;6,98;6,08;7,03;6,11;7,08;6,15;7,29;7,58;8,72;9,3;8,41;9,37;8,45;9,43;8,5;9,7;Não;Não;Não;Não;;Negativa;Não;Tarja -(*)
"DIENOGESTE;VALERATO DE ESTRADIOL";56.990.534/0001-67;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;530917060013104;1002001390025;7896116871497;    -     ;    -     ;CHARMELIE;COM REV A + COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC X 26 + 2 PLACEBOS ;G3A4 - PREPARAÇÕES CONTRACEPTIVAS TRIFÁSICAS;Similar;Regulado;96,83;108,45;125,32;134,01;116,66;134,95;117,37;135,9;118,09;139,83;145,48;167,4;178,63;161,28;179,84;162,26;181,06;163,25;186,12;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500402113310;1002900020141;7897337705905;    -     ;    -     ;CO-RENITEC;20 MG + 12,5 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;43,76;43,76;49,73;52,72;52,72;53,04;53,04;53,37;53,37;54,7;60,5;68,75;72,88;72,88;73,32;73,32;73,78;73,78;75,62;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500401117312;1002900020158;7897337705912;    -     ;    -     ;CO-RENITEC;10 MG + 25 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;28,74;28,74;32,66;34,63;34,63;34,84;34,84;35,05;35,05;35,93;39,73;45,15;47,87;47,87;48,16;48,16;48,45;48,45;49,67;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502006118219;1002900050014;7897337706575;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502002112216;1002900050022;7897337706568;    -     ;    -     ;SINGULAIR;10 MG COM REV CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502003119214;1002900050057;7897337706490;    -     ;    -     ;SINGULAIR;4 MG COM  MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502004115212;1002900050065;7897337706506;    -     ;    -     ;SINGULAIR;4 MG COM MAST CT 3  BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,4;74,4;74,86;74,86;75,32;75,32;77,2;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502005111210;1002900050073;7897337706520;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502001116218;1002900050081;7897337706551;    -     ;    -     ;SINGULAIR;10 MG COM REV CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,4;36,4;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
